Arise	;	Е	-	Arisen	;	ѕодниматьс€;	Arosen	;	Arose	;	Arise	;	1	;
Buy	;	Bought	-	Bought	;	Е	;	 упатьс€	;	ѕокупать	;	ѕолучать	;	1	;
Е	;	Caught	-	Caught	;	Ћовить	;	Catch	;	Cauch	;	Catsh	;	0	;
Catch	;	Е	-	Caught	;	Ћовить	;	Caught	;	Cauch	;	Catch	;	0	;
Catch	;	Caught	-	Е	;	Ћовить	;	Caught	;	Catchen	;	Catch	;	0	;
Catch	;	Caught	-	Caught	;	Е	;	 опать	;	ѕокупать	;	Ћовить	;	2	;
Е	;	Chose	-	Chosen	;	¬ыбирать	;	Choose	;	Chose	;	Chouse	;	0	;
Choose	;	Е	-	Chosen	;	¬ыбирать	;	Chose	;	Chosen	;	Chouse	;	0	;
Choose	;	Chose	-	Е	;	¬ыбирать	;	Choose	;	Chosen	;	Chouse	;	1	;
Choose	;	Chose	-	Chosen	;	Е	;	ѕоливать	;	ѕокупать	;	¬ыбирать	;	2	;
Е	;	Clung	-	Clung	;	÷епл€тьс€	;	Cling	;	Clingen	;	Clung	;	0	;
Cling	;	Е	-	Clung	;	÷епл€тьс€	;	Cling	;	Clang	;	Clungen	;	1	;
Cling	;	Clung	-	Е	;	÷епл€тьс€	;	Cling	;	Clang	;	Clung	;	1	;
Cling	;	Clung	-	Clung	;	Е	;	«абывать	;	÷епл€тьс€	;	ѕриносить	;	1	;
Е	;	Came	-	Come	;	ѕриходить	;	Came	;	Come	;	Com	;	1	;
Come	;	Е	-	Come	;	ѕриходить	;	Came	;	Come	;	Camm	;	0	;
Come	;	Came	-	Е	;	ѕриходить	;	Came	;	Comen	;	Com	;	0	;
Come	;	Came	-	Come	;	Е	;	ƒышать	;	ѕриходить	;	«апирать	;	1	;
Е	;	Cost	-	Cost	;	—тоить	;	Cost	;	Cast	;	Cust	;	0	;
Cost	;	Е	-	Cost	;	—тоить	;	Cast	;	Cost	;	Costen	;	1	;
Cost	;	Cost	-	Е	;	—тоить	;	Casten	;	Cast	;	Cost	;	2	;
Cost	;	Cost	-	Cost	;	Е	;	—тоить	;	—троить	;	—идеть	;	0	;
Е	;	Cut	-	Cut	;	–езать	;	Cut	;	Cutt	;	Cat	;	0	;
Cut	;	Е	-	Cut	;	–езать	;	Catt	;	Cut	;	Cutten	;	1	;
Cut	;	Cut	-	Е	;	–езать	;	Cot	;	Cutten	;	Cut	;	2	;
Cut	;	Cut	-	Cut	;	Е	;	–езать	;	„есать	;	 опать	;	0	;
Е	;	Dealt	-	Dealt	;	¬ести дела	;	Deal	;	Dealt	;	Dealed	;	0	;
Deal	;	Е	-	Dealt	;	¬ести дела	;	Deal	;	Deelen	;	Dealt	;	2	;
Deal	;	Dealt	-	Е	;	¬ести дела	;	Dealt	;	Deal	;	Deel	;	0	;
Deal	;	Dealt	-	Dealt	;	Е	;	¬ести дела	;	¬ести машину	;	Ќести ношу	;	0	;
Е	;	Dug	-	Dug	;	 опать	;	Dig	;	Dug	;	Dag	;	0	;
Dig	;	Е	-	Dug	;	 опать	;	Dig	;	Dug	;	Dag	;	1	;
Dig	;	Dug	-	Е	;	 опать	;	Dig	;	Dug	;	Dag	;	1	;
Dig	;	Dug	-	Dug	;	Е	;	—тоить	;	–исовать	;	 опать	;	2	;
Е	;	Did	-	Done	;	ƒелать	;	Do	;	Done	;	Doo	;	0	;
Do	;	Е	-	Done	;	ƒелать	;	Do	;	Doo	;	Did	;	2	;
Do	;	Did	-	Е	;	ƒелать	;	Done	;	Dan	;	Deed	;	0	;
Do	;	Did	-	Done	;	Е	;	ƒелать	;	ѕилить	;	ƒумать	;	0	;
Е	;	Drew	-	Drawn	;	–исовать, т€нуть	;	Draw	;	Drow	;	Drew	;	0	;
Draw	;	Е	-	Drawn	;	–исовать, т€нуть	;	Drow	;	Drowen	;	Drew	;	2	;
Draw	;	Drew	-	Е	;	–исовать, т€нуть	;	Drowen	;	Drawn	;	Drew	;	1	;
Draw	;	Drew	-	Drawn	;	Е	;	–исовать, т€нуть	;	–ычать, забирать	;	–угать, скалитьс€	;	0	;
Е	;	Drank	-	Drunk	;	ѕить	;	Drink	;	Drank	;	Dreenk	;	0	;
Drink	;	Е	-	Drunk	;	ѕить	;	Drank	;	Drink	;	Droonk	;	0	;
Drink	;	Drank	-	Е	;	ѕить	;	Drank	;	Drunk	;	Dranken	;	1	;
Drink	;	Drank	-	Drunk	;	Е	;	ѕить	;	ѕоить	;	Ќаходить	;	0	;
Е	;	Drove	-	Driven	;	¬одить автомобиль	;	Drive	;	Drove	;	Draive	;	0	;
Drive	;	Е	-	Driven	;	¬одить автомобиль	;	Druv	;	Drove	;	Driven	;	1	;
Drive	;	Drove	-	Е	;	¬одить автомобиль	;	Druven	;	Droven	;	Driven	;	2	;
Drive	;	Drove	-	Driven	;	Е	;	¬одить автомобиль	;	 упить автомобиль	;	 рутить колесо	;	0	;
