Breed	;	Bred	;	Bred	;	…	;	Размножаться	;	Питаться	;	Веселиться	;	0	;
…	;	Brought	;	Brought	;	Приносить	;	Bring	;	Breeng	;	Broung	;	0	;
Bring	;	…	;	Brought	;	Приносить	;	Bring	;	Brought	;	Broung	;	1	;
Bring	;	Brought	;	…	;	Приносить	;	Bring	;	Brought	;	Brang	;	1	;
Bring	;	Brought	;	Brought	;	…	;	Прижимать	;	Выносить	;	Приносить	;	2	;
…	;	Built	;	Built	;	Строить	;	Builden	;	Build	;	Built	;	1	;
Build	;	…	;	Built	;	Строить	;	Builden	;	Build	;	Built	;	2	;
Build	;	Built	;	…	;	Строить	;	Builden	;	Build	;	Built	;	2	;
Build	;	Built	;	Built	;	…	;	Клеить	;	Строить	;	Рубить	;	1	;
…	;	Bought	;	Bought	;	Покупать	;	Buy	;	Bouy	;	Boud	;	0	;
Buy	;	…	;	Bought	;	Покупать	;	Buy	;	Bought	;	Boud	;	1	;
Buy	;	Bought	;	…	;	Покупать	;	Bought	;	Buy	;	Boud	;	0	;
Buy	;	Bought	;	Bought	;	…	;	Купаться	;	Покупать	;	Получать	;	1	;
…	;	Caught	;	Caught	;	Ловить	;	Catch	;	Cauch	;	Catsh	;	0	;
Catch	;	…	;	Caught	;	Ловить	;	Caught	;	Cauch	;	Catch	;	0	;
Catch	;	Caught	;	…	;	Ловить	;	Caught	;	Catchen	;	Catch	;	0	;
Catch	;	Caught	;	Caught	;	…	;	Копать	;	Покупать	;	Ловить	;	2	;
…	;	Chose	;	Chosen	;	Выбирать	;	Choose	;	Chose	;	Chouse	;	0	;
Choose	;	…	;	Chosen	;	Выбирать	;	Chose	;	Chosen	;	Chouse	;	0	;
Choose	;	Chose	;	…	;	Выбирать	;	Choose	;	Chosen	;	Chouse	;	1	;
Choose	;	Chose	;	Chosen	;	…	;	Поливать	;	Покупать	;	Выбирать	;	2	;
…	;	Clung	;	Clung	;	Цепляться	;	Cling	;	Clingen	;	Clung	;	0	;
Cling	;	…	;	Clung	;	Цепляться	;	Cling	;	Clang	;	Clungen	;	1	;
Cling	;	Clung	;	…	;	Цепляться	;	Cling	;	Clang	;	Clung	;	1	;
Cling	;	Clung	;	Clung	;	…	;	Забывать	;	Цепляться	;	Приносить	;	1	;
…	;	Came	;	Come	;	Приходить	;	Came	;	Come	;	Com	;	1	;
Come	;	…	;	Come	;	Приходить	;	Came	;	Come	;	Camm	;	0	;
Come	;	Came	;	…	;	Приходить	;	Came	;	Comen	;	Com	;	0	;
Come	;	Came	;	Come	;	…	;	Дышать	;	Приходить	;	Запирать	;	1	;
…	;	Cost	;	Cost	;	Стоить	;	Cost	;	Cast	;	Cust	;	0	;
Cost	;	…	;	Cost	;	Стоить	;	Cast	;	Cost	;	Costen	;	1	;
Cost	;	Cost	;	…	;	Стоить	;	Casten	;	Cast	;	Cost	;	2	;
Cost	;	Cost	;	Cost	;	…	;	Стоить	;	Строить	;	Сидеть	;	0	;
…	;	Cut	;	Cut	;	Резать	;	Cut	;	Cutt	;	Cat	;	0	;
Cut	;	…	;	Cut	;	Резать	;	Catt	;	Cut	;	Cutten	;	1	;
Cut	;	Cut	;	…	;	Резать	;	Cot	;	Cutten	;	Cut	;	2	;
Cut	;	Cut	;	Cut	;	…	;	Резать	;	Чесать	;	Копать	;	0	;
…	;	Dealt	;	Dealt	;	Вести дела	;	Deal	;	Dealt	;	Dealed	;	0	;
Deal	;	…	;	Dealt	;	Вести дела	;	Deal	;	Deelen	;	Dealt	;	2	;
Deal	;	Dealt	;	…	;	Вести дела	;	Dealt	;	Deal	;	Deel	;	0	;
Deal	;	Dealt	;	Dealt	;	…	;	Вести дела	;	Вести машину	;	Нести ношу	;	0	;
…	;	Dug	;	Dug	;	Копать	;	Dig	;	Dug	;	Dag	;	0	;
Dig	;	…	;	Dug	;	Копать	;	Dig	;	Dug	;	Dag	;	1	;
Dig	;	Dug	;	…	;	Копать	;	Dig	;	Dug	;	Dag	;	1	;
Dig	;	Dug	;	Dug	;	…	;	Стоить	;	Рисовать	;	Копать	;	2	;
…	;	Did	;	Done	;	Делать	;	Do	;	Done	;	Doo	;	0	;
Do	;	…	;	Done	;	Делать	;	Do	;	Doo	;	Did	;	2	;
Do	;	Did	;	…	;	Делать	;	Done	;	Dan	;	Deed	;	0	;
Do	;	Did	;	Done	;	…	;	Делать	;	Пилить	;	Думать	;	0	;
